date,gold_price,R_GOLD,sp500,R_SP500,VIX,D_GULF,D_911,D_UKR,EPISODE_ACTIVE,GPR,GPRA,GPRT,dln_GPR,dln_GPRA,dln_GPRT,D_GULF,D_911,D_UKR,WAR_HIGH,CONTROL,R_GOLD_LEAD
2002-02-01,295.5,4.85008659186839,1106.72998046875,-2.0984861119793337,22.87578947368421,0,0,0,0,146.1857147216797,212.9055023193359,95.78031158447266,-0.165387241336794,-0.2085909758391348,-0.1099885469312544,0,0,0,1,0,-0.488500869664178
2002-03-01,294.06,-0.488500869664178,1147.3900146484375,3.6080106667215,18.985,0,0,0,0,151.9763641357422,219.9688415527344,99.12334442138672,0.0388471776284102,0.0326374908319948,0.0343078298516861,0,0,0,1,0,2.889231367680966
2002-04-01,302.68,2.889231367680966,1076.9200439453125,-6.33846547446828,19.900454545454547,0,0,0,0,157.49655151367188,225.64035034179688,100.74444580078124,0.0356785532266181,0.0254564545125415,0.0162220928914029,0,0,0,1,0,3.8276137306270233
2002-05-01,314.49,3.8276137306270233,1067.1400146484375,-0.9122969376784574,20.087727272727275,0,0,0,0,163.3223114013672,209.4087829589844,142.246826171875,0.036322056068788,-0.0746541205192903,0.3449766903573339,0,0,0,1,0,2.1049434500753983
2002-06-01,321.18,2.1049434500753983,989.8200073242188,-7.521434960317877,25.271,0,0,0,0,149.33042907714844,189.1234893798828,127.7907485961914,-0.0895641235298212,-0.1018880563492121,-0.1071696115142568,0,0,0,1,0,-2.4872434473777902
2002-07-01,313.29,-2.4872434473777902,911.6199951171876,-8.229988459363803,34.04954545454546,0,0,0,0,122.7783432006836,168.41973876953125,94.34967803955078,-0.1957808535541962,-0.1159408761252294,-0.303386290218671,0,0,0,1,0,-0.9718623523381906
2002-08-01,310.26,-0.9718623523381906,916.0700073242188,0.4869557741769553,33.74272727272727,0,0,0,0,127.06451416015624,157.46444702148438,101.69573974609376,0.0343143011312037,-0.0672596089478503,0.0749775523715223,0,0,0,1,0,2.8219222346096013
2002-09-01,319.14,2.8219222346096013,815.280029296875,-11.656114050838797,37.6475,0,0,0,0,174.90333557128906,188.7191925048828,174.5314483642578,0.3195385101572858,0.1810604567031744,0.5401195334824536,0,0,0,1,0,-0.8117080905112272
2002-10-01,316.56,-0.8117080905112272,885.760009765625,8.291439611915427,35.24304347826087,0,0,0,0,172.03192138671875,197.39906311035156,167.02581787109375,-0.0165534040964283,0.0449672245495849,-0.0439565467591025,0,0,0,1,0,0.7897717371853026
2002-11-01,319.07,0.7897717371853026,936.3099975585938,5.550057104349944,28.175,0,0,0,0,159.12759399414062,179.06283569335938,155.0137481689453,-0.0779736906940025,-0.0974905992053356,-0.0746345876482257,0,0,0,1,0,3.9483461575590626
2002-12-01,331.92,3.9483461575590626,879.8200073242188,-6.222926619772058,28.21047619047619,0,0,0,0,175.8117218017578,175.19842529296875,182.9995574951172,0.0997073015863181,-0.0218175912265472,0.1659699239290413,0,0,0,1,0,7.244957197867032
2003-01-01,356.86,7.244957197867032,855.7000122070312,-2.77974877305516,27.424285714285713,0,0,0,0,206.43460083007812,176.95985412597656,245.8175506591797,0.1605699992942142,0.0100037035922486,0.2951058619974613,0,0,0,1,0,0.5895271533598571
2003-02-01,358.97,0.5895271533598571,841.1500244140625,-1.714982949976613,32.21842105263158,0,0,0,0,239.6109313964844,213.080322265625,296.7597961425781,0.1490328294870746,0.1857463004634505,0.1883334476008675,0,0,0,1,0,-5.267686184955395
2003-03-01,340.55,-5.267686184955395,848.1799926757812,0.8322836592988462,30.634285714285717,0,0,0,0,358.711181640625,429.1441955566406,362.41107177734375,0.4035010680081088,0.7001237881671676,0.1998560805867724,0,0,0,1,0,-3.699971934032312
2003-04-01,328.18,-3.699971934032312,916.9199829101562,7.792734002637904,23.99190476190476,0,0,0,0,255.77517700195312,331.6032409667969,212.60545349121097,-0.3382187129463743,-0.2578537856938023,-0.5333410079684775,0,0,0,1,0,8.046921186888207
2003-05-01,355.68,8.046921186888207,963.5900268554688,4.964571199782595,20.23952380952381,0,0,0,0,162.1218719482422,186.8463592529297,153.3962860107422,-0.4559504954104572,-0.5736525260607124,-0.3264134394980802,0,0,0,1,0,0.1881943731993399
2003-06-01,356.35,0.1881943731993399,974.5,1.1258598140629077,20.362380952380953,0,0,0,0,145.7697296142578,176.91827392578125,127.83353424072266,-0.1063201661714163,-0.05459877416523,-0.1822957737242267,0,0,0,1,0,-1.5070192048335782
2003-07-01,351.02,-1.5070192048335782,990.3099975585938,1.6093504013478803,19.161363636363635,0,0,0,0,134.89891052246094,167.4486541748047,108.3927993774414,-0.0775024952102487,-0.0550111346797157,-0.1649672433814979,0,0,0,1,0,2.462173648524776
2003-08-01,359.77,2.462173648524776,1008.010009765625,1.7715355943955011,19.27428571428571,0,0,0,0,138.23092651367188,180.0001220703125,109.64905548095705,0.0243999801550858,0.0722807670269105,0.0115232004901892,0,0,0,1,0,5.193933187324631
2003-12-01,406.953,4.278175639728259,1111.9200439453125,4.951898497110497,16.826363636363638,0,0,0,0,129.46507263183594,164.98052978515625,107.44403839111328,0.0919920958069155,0.0737807874141323,0.1408115166067318,0,0,0,1,0,1.6656065715384551
2004-03-01,406.67,0.4416258588519439,1126.2099609375,-1.6494204178642544,17.687391304347827,0,0,0,0,138.53207397460938,183.70297241210935,109.12393951416016,0.1855093303996868,0.3516159316251501,0.0469899444953094,0,0,0,1,0,-0.8420530536981654
2004-04-01,403.26,-0.8420530536981654,1107.300048828125,-1.6933314713063945,15.69857142857143,0,0,0,0,149.6313934326172,205.3251953125,121.14622497558594,0.0770730128128818,0.1112748679761077,0.1045139908269314,0,0,0,1,0,-4.951204346833328
2004-05-01,383.78,-4.951204346833328,1120.6800537109375,1.2011028036095872,17.705000000000002,0,0,0,0,121.0911865234375,159.94842529296875,91.96539306640624,-0.211631023264827,-0.2497436195100908,-0.2755859428956029,0,0,0,1,0,2.213580042757453
2004-06-01,392.37,2.213580042757453,1140.8399658203125,1.7829111362111554,15.342727272727274,0,0,0,0,137.23391723632812,178.03662109375,106.79373931884766,0.125143025508895,0.1071378442614205,0.1494869602372226,0,0,0,1,0,1.447283820485081
2004-07-01,398.09,1.447283820485081,1101.719970703125,-3.489223484716681,15.502380952380951,0,0,0,0,131.0198516845703,159.81219482421875,121.2677764892578,-0.0463380436206408,-0.1079899221498266,0.1271018250942486,0,0,0,1,0,0.6060624611690955
2004-08-01,400.51,0.6060624611690955,1104.239990234375,0.2284738319904574,16.68409090909091,0,0,0,0,140.36582946777344,176.45431518554688,127.44524383544922,0.0689032308138006,0.0990626619303425,0.0496856829479037,0,0,0,1,0,1.1839451267652426
2004-09-01,405.28,1.1839451267652426,1114.5799560546875,0.9320306218269944,14.08095238095238,0,0,0,0,153.87161254882812,189.355224609375,130.20606994628906,0.0918664878465014,0.0705627409125693,0.0214315366190218,0,0,0,1,0,3.6771163783614593
2004-11-01,439.375,4.400391252794974,1173.8199462890625,3.7868776906828336,13.577619047619049,0,0,0,0,122.70738983154295,151.67926025390625,98.92665100097656,0.023454880045528,0.022905383528454,-0.0158574674189839,0,0,0,1,0,0.6137598610176961
2005-07-01,424.48,-1.445402528903249,1234.1800537109375,3.5336532271868712,11.049,0,0,0,0,165.90191650390625,237.5650177001953,118.1835708618164,0.7154172359074904,0.9333623699520084,0.525423845036225,0,0,0,1,0,3.1194189863264725
2006-07-01,633.71,6.110751047657868,1276.6600341796875,0.507298940598844,15.326,0,0,0,0,137.13482666015625,142.0860595703125,134.39634704589844,0.2903920883274526,0.2056097170270305,0.3967200489609439,0,0,0,1,0,-0.1764191176534948
2006-08-01,632.593,-0.1764191176534948,1303.8199462890625,2.1051056620195077,13.351739130434783,0,0,0,0,147.08111572265625,159.18817138671875,141.55645751953125,0.0700196641369075,0.1136540429780152,0.051905382575959,0,0,0,1,0,-5.591881612712524
2011-03-01,1423.26,3.4729038236249954,1325.8299560546875,-0.1047861754583882,20.72347826086957,0,0,0,0,136.8883056640625,157.47984313964844,126.96572875976562,0.4191946685782497,0.610935121542302,0.3420059740808421,0,0,0,1,0,3.969324339124291
2014-07-01,1310.59,2.432071187785261,1930.6700439453125,-1.5194687637991529,12.296363636363637,0,0,0,0,138.7539520263672,118.54683685302734,162.71510314941406,0.3399376302845489,0.1007796711394055,0.5347300540947568,0,0,0,1,0,-1.1866341287523028
2014-08-01,1295.13,-1.1866341287523028,2003.3699951171875,3.696364440798925,13.49190476190476,0,0,0,0,136.44558715820312,112.11448669433594,158.59349060058594,-0.0167763290200557,-0.0557875783605119,-0.0256565726375486,0,0,0,1,0,-4.628583233520941
2014-09-01,1236.55,-4.628583233520941,1972.2900390625,-1.563543610528987,13.466666666666669,0,0,0,0,131.55665588378906,120.78192138671876,143.3953857421875,-0.0364883042195112,0.0744660650764696,-0.1007385153692643,0,0,0,1,0,-1.1435481503996696
2015-11-01,1086.44,-6.486694829368386,2080.409912109375,0.0504741706805186,16.21,0,0,0,0,150.71588134765625,213.99351501464844,113.04398345947266,0.4943485640917942,0.679062647612068,0.349177228039764,0,0,0,1,0,-0.9897499142495458
2015-12-01,1075.74,-0.9897499142495458,2043.93994140625,-1.7685658390257228,18.025454545454547,0,0,0,0,148.23687744140625,204.6312713623047,115.224365234375,-0.0165849663951034,-0.044736027596369,0.0191042525336344,0,0,0,1,0,2.0399575661474683
2017-06-01,1260.26,1.1347526303954831,2423.409912109375,0.4802226040503878,10.513636363636364,0,0,0,0,126.7890167236328,146.67166137695312,113.16846466064452,0.2118817914169639,0.3859826374944086,0.100434226544972,0,0,0,1,0,-1.875830902810213
2017-08-01,1283.04,3.667252222201682,2471.64990234375,0.0546283779694675,11.975652173913044,0,0,0,0,138.5316162109375,108.43595123291016,160.02310180664062,0.2981822844851924,0.4101179961811976,0.2422222665703355,0,0,0,1,0,2.389692901744329
2018-04-01,1334.76,0.7595677673581929,2648.050048828125,0.2715085811824473,18.267619047619046,0,0,0,0,123.2634735107422,94.30585479736328,146.39566040039062,0.0961619579104686,0.3789856325746576,-0.0036234383366187,0,0,0,1,0,-2.373690502028526
2018-05-01,1303.45,-2.373690502028526,2705.27001953125,2.1378191183066173,14.124545454545457,0,0,0,0,125.66661834716795,63.21790313720703,172.21670532226562,0.0193083887809946,-0.3999557361158867,0.1624406394372934,0,0,0,1,0,-1.6928706571235703
2020-01-01,1560.67,5.366113914392889,3225.52001953125,-0.162941960244258,13.94095238095238,0,0,0,0,138.4209442138672,81.65093994140625,190.8443603515625,0.6224590806676389,0.2540728287006217,0.868047911908282,0,0,0,1,0,2.3074268442413346
2022-01-01,1816.02,1.419147886700102,4515.5498046875,-5.401822999928342,23.181,0,0,0,0,138.67498779296875,63.25152969360352,199.48751831054688,0.2748883047946684,0.2831331422405903,0.2503268954480608,0,0,0,1,0,2.193796589872498
