date,GPR,GPRA,GPRT,dln_GPR,dln_GPRA,dln_GPRT,D_GULF,D_911,D_UKR,WAR_HIGH,CONTROL
1992-12-01,83.42096710205078,60.88547134399414,97.29403686523438,-0.0870586665334212,-0.11866958856518917,-0.1193088193250329,0,0,0,0,0
1993-01-01,128.91807556152344,114.82777404785156,144.89353942871094,0.4352774475814911,0.6344388083643926,0.39826156067701746,0,0,0,1,0
1993-02-01,90.46806335449219,64.63740539550781,105.26100158691406,-0.35418023213622796,-0.5746401147337705,-0.31955626667781356,0,0,0,0,0
1993-03-01,94.24144744873047,80.28809356689453,99.9146728515625,0.04086318164658209,0.2168280614690401,-0.05212644498111629,0,0,0,0,0
1993-04-01,112.72166442871094,72.71391296386719,144.0390167236328,0.17906155456630035,-0.09908859432569095,0.3657676620851049,0,0,0,0,0
1993-05-01,110.72975158691406,77.88386535644531,137.38629150390625,-0.01782907123263744,0.06868607023305273,-0.04728760824860334,0,0,0,0,0
1993-06-01,104.19525146484375,73.33211517333984,125.46405029296875,-0.06082600536862692,-0.06022016520782447,-0.09077733840907509,0,0,0,0,0
1993-07-01,123.31478881835938,107.0821533203125,131.75840759277344,0.16847378780640643,0.37859768163011065,0.04895073444348963,0,0,0,1,0
1993-08-01,97.2416763305664,94.7355728149414,97.08562469482422,-0.23754095632830907,-0.122506761340202,-0.30537668219125536,0,0,0,0,0
1993-09-01,89.16477966308594,76.93018341064453,97.45659637451172,-0.0867132736172529,-0.20819126497174434,0.0038137955585986205,0,0,0,0,0
1993-10-01,106.16590881347656,65.22377014160156,130.3068084716797,0.17451693319699046,-0.1650743263757395,0.2904846215439445,0,0,0,0,0
1993-11-01,83.48017883300781,51.35593795776367,105.1309585571289,-0.24039382355154792,-0.239043408569517,-0.21468493766964603,0,0,0,0,0
1993-12-01,79.55179595947266,50.134674072265625,97.06568145751953,-0.048200893417388535,-0.024067700693777727,-0.07981891958954712,0,0,0,0,1
1994-01-01,83.48997497558594,65.27042388916016,93.09183502197266,0.048318233461293936,0.26382614106823965,-0.041801398506687626,0,0,0,0,0
1994-02-01,117.2420654296875,76.48810577392578,148.14723205566406,0.33951416831866066,0.15859624164379316,0.4646201111775996,0,0,0,0,0
1994-03-01,93.47403717041016,79.4195327758789,98.56234741210938,-0.22655701238170867,0.03760909406807045,-0.4075172738655768,0,0,0,0,0
1994-04-01,95.35697174072266,68.70893859863281,116.44586181640625,0.019943726324829214,-0.14486504136221612,0.1667371429694109,0,0,0,0,0
1994-05-01,104.46678924560547,73.90620422363281,122.97669982910156,0.09124176789343608,0.07291747737120335,0.05456844558598206,0,0,0,0,0
1994-06-01,120.35224151611328,79.9498519897461,148.2960662841797,0.14155357440212502,0.07860280925115681,0.18721581825469436,0,0,0,1,0
1994-07-01,99.6402359008789,75.47087860107422,115.40325927734375,-0.18885673111064882,-0.05765272003783739,-0.25077812641912,0,0,0,0,0
1994-08-01,98.2270278930664,66.64015197753906,122.92201232910156,-0.014284647305399467,-0.1244395895238819,0.06311751119561215,0,0,0,0,0
1994-09-01,98.89848327636719,51.336830139160156,131.31796264648438,0.006812491961813549,-0.2608988474117888,0.06607146991863111,0,0,0,0,0
