date,rho_t,h11_gold,h22_sp500,h12_cov,hedge_ratio,w_gold,w_sp500
2007-09-01,-0.08845033573902382,8.60743521515368,9.00426653187237,-0.7786827213798834,-0.08647930607380212,0.5103508249199038,0.4896491750800962
2007-10-01,-0.0693886311130268,13.796842849553848,9.190499732578862,-0.7813538241562848,-0.08501755583393464,0.4061846498533328,0.5938153501466672
2007-11-01,-0.0757029500268155,15.676771465949484,7.866813297032748,-0.8406990155351605,-0.10686652699032026,0.34519398422031555,0.6548060157796844
2007-12-01,-0.10518975138506573,18.57305998423543,12.930976765572298,-1.6301622242742018,-0.126066441370027,0.41885248248240603,0.581147517517594
2008-01-01,-0.09560649768993981,15.200715221145353,11.160559083371849,-1.2452667612196198,-0.11157745341583707,0.42998435033941335,0.5700156496605866
2008-02-01,-0.13222214512823094,26.605166105949674,20.21268847142585,-3.066191160857474,-0.15169635475221757,0.4396369307402133,0.5603630692597867
2008-03-01,-0.11439590862332094,22.516034771270807,20.0212188204261,-2.42885564288211,-0.12131407506540695,0.473680580233628,0.526319419766372
2008-04-01,-0.10310162960447762,20.915521975529487,16.21031570763984,-1.898434510288094,-0.11711274132639943,0.4425110574680169,0.5574889425319831
2008-05-01,-0.10599876755286637,23.331133245673698,16.082856170169926,-2.0532901404999944,-0.12766949593868687,0.41672584796116013,0.5832741520388398
2008-06-01,-0.09694309838843562,19.729177410903826,12.875363603148793,-1.5450805885478953,-0.1200028703010788,0.40399396287084527,0.5960060371291547
2008-07-01,-0.08781995067175416,15.976112345571112,31.246728067749245,-1.9621446280053754,-0.06279520286895472,0.6492812580188123,0.3507187419811877
2008-08-01,-0.09084405354486456,16.950144119421477,24.767197112758144,-1.8613225224886092,-0.07515273181759433,0.5860151337376877,0.41398486626231235
2008-09-01,-0.0881981668330529,34.06595956543985,19.301793154812007,-2.261615127987975,-0.11717124465320188,0.3724830219527404,0.6275169780472596
2008-10-01,-0.08097551301014584,26.869952313757572,38.28626701532369,-2.5972195776070026,-0.06783684542991596,0.5811386485040124,0.4188613514959876
2008-11-01,-0.0648763348098766,22.786488747380325,110.16943982848869,-3.2505404977472687,-0.029504919901632395,0.8132970918768783,0.18670290812312174
2008-12-01,-0.06671621497045982,23.929449627267665,98.23362122104861,-3.234653991575014,-0.032928176233026026,0.7888237482225763,0.21117625177742372
2009-01-01,-0.07706080400350124,25.382842970014547,73.47159353738037,-3.327847352386308,-0.045294340195482334,0.7278868863818653,0.2721131136181347
2009-02-01,-0.09103822677160735,23.306851711074412,75.81090685308052,-3.8267619086330686,-0.05047772236848755,0.7458716144030418,0.25412838559695816
2009-03-01,-0.10996366033591169,30.262340029878473,90.4233424666078,-5.752289292077908,-0.06361509246577736,0.7275545942073159,0.27244540579268406
2009-04-01,-0.10139597794613282,24.589510039520952,79.36520044468023,-4.4793059246667415,-0.05643916854703773,0.7425563665700907,0.2574436334299093
2009-05-01,-0.10057564575989669,22.088424513155033,73.81479303944906,-4.0611301052455735,-0.055017835016826125,0.7486235566449126,0.25137644335508735
2009-06-01,-0.09022284451916054,19.81378272028878,59.50432891127694,-3.0979506425112096,-0.05206260954779212,0.7320704223628414,0.26792957763715863
2009-07-01,-0.08937560475272342,16.306943123071235,45.040893849814374,-2.4221931520247386,-0.05377764393622755,0.7170492944958654,0.2829507055041346
2009-08-01,-0.09164406917426617,13.826740563234344,42.81513405763235,-2.229784671392618,-0.05207935746250759,0.7372152899663275,0.26278471003367254
2009-09-01,-0.08866426047942769,11.81177480697928,33.89532395673457,-1.7740917237396656,-0.05234030882856265,0.7241744251415216,0.27582557485847836
2009-10-01,-0.08249848596360136,12.983010018016707,27.54603281495194,-1.5601386813661877,-0.056637508996190085,0.666818437625628,0.333181562374372
2009-11-01,-0.09017897343295352,13.489466262068099,23.043144250156914,-1.5899136558477542,-0.0689972530913149,0.6202857154029238,0.37971428459707623
2009-12-01,-0.07040757539522072,19.15284106075493,22.840352589103837,-1.4726088060851088,-0.0644739962021264,0.5410285035094765,0.4589714964905235
2010-01-01,-0.07937119038389476,15.545048040775368,18.034693218864543,-1.3289642784200968,-0.07368931992865736,0.5343516179530525,0.4656483820469475
2010-02-01,-0.07882656655924741,13.404763353996074,18.857373382057673,-1.2532646394170814,-0.06646019114250196,0.5784127010470692,0.4215872989529308
2010-03-01,-0.08604246330590576,12.175626865103903,15.75249500741987,-1.1916073565348249,-0.07564562667523742,0.5590021514263414,0.44099784857365865
2010-04-01,-0.08282570841621502,10.598715460355,17.74188846953938,-1.1357734125839312,-0.06401648925557801,0.6166721846226882,0.38332781537731175
2010-05-01,-0.08420213036250196,10.291436065348577,14.173909372016004,-1.0169647402170634,-0.07174906467406154,0.5732562177401257,0.4267437822598743
2010-06-01,-0.11220719626226294,11.821140764544644,30.4067461647374,-2.1273325219194392,-0.06996251787001463,0.699920234703767,0.30007976529623304
2010-07-01,-0.10450273182228696,10.616681477866193,32.16554599455505,-1.9311566383657104,-0.06003804936787376,0.7309902099001834,0.2690097900998166
2010-08-01,-0.10515086371176496,11.24906395367922,32.00954633652338,-1.9953119188551949,-0.06233490152837667,0.7196912052229402,0.28030879477705983
2010-09-01,-0.0997183535193929,10.02189227219654,31.589195607179576,-1.774268113822502,-0.05616692922118116,0.7387896684422346,0.2612103315577654
2010-10-01,-0.07770424132245997,11.151161761461161,36.59433429041144,-1.5696821077996195,-0.042894129330039825,0.7500072948536212,0.24999270514637884
2010-11-01,-0.07621780355618483,13.302469355120959,29.665635391014636,-1.5140819776744092,-0.05103824535418535,0.6778749287479225,0.32212507125207746
2010-12-01,-0.08300645338913377,11.608830910190113,23.12783441836362,-1.3601085966728013,-0.058808298782737224,0.6537635106370489,0.34623648936295115
2011-01-01,-0.08199724840446003,10.138680815786257,24.54910938508445,-1.293623435986212,-0.052695330640882304,0.6932986483841348,0.3067013516158652
2011-02-01,-0.0868966517285955,9.876895002533901,19.535170030725563,-1.207040546388177,-0.06178807476411537,0.6517349130168572,0.34826508698314285
2011-03-01,-0.0865056905849619,8.748038154312379,16.560891904533893,-1.0412184930719635,-0.06287212663871733,0.6426152578910891,0.3573847421089109
2011-04-01,-0.08897949502094042,9.217227756863917,13.406211566961282,-0.9891066702100986,-0.07377973003556697,0.5851362277824812,0.4148637722175188
2011-05-01,-0.08240817750093898,10.04096627113989,11.729382121497169,-0.894325535447805,-0.07624660243685973,0.5358337766629436,0.46416622333705637
2011-06-01,-0.08808157729181867,9.232789476881223,10.686623087853178,-0.8749269531413678,-0.08187122779092332,0.5335459811922214,0.4664540188077786
