date,DCC_rho
2001-06-01,-0.08813157238784282
2001-07-01,-0.08585036247114292
2001-08-01,-0.08528672731821847
2001-09-01,-0.09253345664699221
2001-10-01,-0.10772936782084848
2001-11-01,-0.09788039929769503
2001-12-01,-0.10201214202699024
2002-01-01,-0.09480710110761671
2002-02-01,-0.09352691427023728
2002-03-01,-0.09848036670543933
2002-04-01,-0.09456540087205344
2002-05-01,-0.10251864894389723
2002-06-01,-0.09804525216627359
2002-07-01,-0.10026325247469955
2002-08-01,-0.07882166683827876
2002-09-01,-0.08328827297391403
2002-10-01,-0.0994440738829692
2002-11-01,-0.09675883855402147
2002-12-01,-0.09141630727025547
2003-01-01,-0.10029820309533585
2003-02-01,-0.10225734176998853
2003-03-01,-0.09510198495522394
2003-04-01,-0.09043628443144651
2003-05-01,-0.10112205659885835
2003-06-01,-0.0796849806827973
2003-07-01,-0.08401915161080614
2003-08-01,-0.0867420145987443
2003-09-01,-0.08621180211272253
2003-10-01,-0.09297909535280156
2003-11-01,-0.09108984610171543
2003-12-01,-0.08955484543325955
2004-01-01,-0.07533171119302359
2004-02-01,-0.08107417568398506
2004-03-01,-0.08528557275078061
2004-04-01,-0.08653767792696063
2004-05-01,-0.08385852126420694
2004-06-01,-0.08672148172088992
2004-07-01,-0.08570933787732572
2004-08-01,-0.09044273766305805
2004-09-01,-0.08932467017195045
2004-10-01,-0.08858781650985627
2004-11-01,-0.08564221871374803
2004-12-01,-0.07202278811841452
2005-01-01,-0.07960475263962966
2005-02-01,-0.0664655759532528
2005-03-01,-0.07806431965822737
2005-04-01,-0.08831356671095546
2005-05-01,-0.08353907708939058
2005-06-01,-0.0900403399609119
2005-07-01,-0.09031334913980883
2005-08-01,-0.0943008715099169
2005-09-01,-0.09632794224000592
2005-10-01,-0.09198068124521519
2005-11-01,-0.09664238842743401
2005-12-01,-0.08906425125734653
2006-01-01,-0.0928567668561977
2006-02-01,-0.07845865395077263
2006-03-01,-0.08366450631629233
2006-04-01,-0.08596225269854389
2006-05-01,-0.08148150676834273
2006-06-01,-0.11259332176235438
